SiteID,1686275,Site Timezone,-6,Data Timezone,-6,Longitude,-87.7298278809,Latitude,43.8935852051
Year,Month,Day,Hour,Minute,power - DEPRECATED,wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 100m (C),air pressure at 100m (Pa),density - DEPRECATED
2009,1,9,11,30,N/A,34.75,2.66,-9.09,98540,N/A
2009,1,9,12,30,N/A,37.79,3.42,-8.49,98540,N/A
2009,1,9,13,30,N/A,38.12,3.65,-8.23,98550,N/A
2009,1,9,14,30,N/A,24.53,4.72,-7.41,98570,N/A
2009,1,9,15,30,N/A,13.61,6.48,-7.04,98600,N/A
2009,1,9,16,30,N/A,5.99,7.42,-7.41,98650,N/A
2009,1,9,17,30,N/A,7.92,8.18,-8.03,98680,N/A
2009,1,9,18,30,N/A,5.7,8.290000000000001,-8.21,98750,N/A
2009,1,9,19,30,N/A,8.620000000000001,8.76,-7.79,98780,N/A
2009,1,9,20,30,N/A,10.19,8.76,-7.66,98810,N/A
2009,1,9,21,30,N/A,10.290000000000001,9.02,-7.37,98820,N/A
2009,1,9,22,30,N/A,5.13,9.06,-7.8500000000000005,98800,N/A
2009,1,9,23,30,N/A,6.96,8.53,-8.2,98820,N/A
2009,1,10,0,30,N/A,10.02,7.5600000000000005,-8.22,98830,N/A
2009,1,10,1,30,N/A,6.87,7.88,-8.33,98830,N/A
2009,1,10,2,30,N/A,4.43,7.66,-8.25,98820,N/A
2009,1,10,3,30,N/A,0.38,7.86,-8.41,98810,N/A
2009,1,10,4,30,N/A,359.12,8.23,-8.18,98800,N/A
2009,1,10,5,30,N/A,1.8800000000000001,8.66,-8.39,98800,N/A
2009,1,10,6,30,N/A,1.03,8.26,-8.24,98800,N/A
2009,1,10,7,30,N/A,4.33,9.16,-8.540000000000001,98790,N/A
2009,1,10,8,30,N/A,0.6900000000000001,9.040000000000001,-8.49,98780,N/A
2009,1,10,9,30,N/A,2.25,7.43,-8.32,98770,N/A
2009,1,10,10,30,N/A,355.69,6.09,-7.72,98740,N/A
2009,1,10,11,30,N/A,358.08,5.67,-6.47,98700,N/A
2009,1,10,12,30,N/A,1.77,6.65,-5.8,98660,N/A
2009,1,10,13,30,N/A,0.52,6.49,-5.54,98620,N/A
2009,1,10,14,30,N/A,346.02,6.8,-5.54,98600,N/A
2009,1,10,15,30,N/A,335.40000000000003,7.21,-6.21,98590,N/A
2009,1,10,16,30,N/A,333.91,8.82,-6.92,98590,N/A
2009,1,10,17,30,N/A,341.17,8.75,-6.95,98600,N/A
2009,1,10,18,30,N/A,334.56,8.31,-7.38,98600,N/A
2009,1,10,19,30,N/A,330.92,7.9,-7.5200000000000005,98610,N/A
2009,1,10,20,30,N/A,326.38,7.2,-7.54,98610,N/A
2009,1,10,21,30,N/A,321.31,6.3,-7.57,98580,N/A
2009,1,10,22,30,N/A,318.19,5.48,-7.62,98560,N/A
2009,1,10,23,30,N/A,305.17,5.61,-8.07,98550,N/A
2009,1,11,0,30,N/A,293.85,5.3500000000000005,-8.02,98540,N/A
2009,1,11,1,30,N/A,301.59000000000003,5.15,-8.3,98530,N/A
2009,1,11,2,30,N/A,295.6,5,-8.69,98530,N/A
2009,1,11,3,30,N/A,284.57,4.82,-8.75,98520,N/A
2009,1,11,4,30,N/A,284.94,5.11,-9,98510,N/A
2009,1,11,5,30,N/A,277.51,4.5,-9.9,98490,N/A
2009,1,11,6,30,N/A,268.16,4.05,-10.39,98480,N/A
2009,1,11,7,30,N/A,259.55,3.16,-10.63,98470,N/A
2009,1,11,8,30,N/A,256.02,3.15,-10.49,98460,N/A
2009,1,11,9,30,N/A,255.64000000000001,2.37,-9.85,98450,N/A
2009,1,11,10,30,N/A,243.04,2.16,-8.83,98440,N/A
2009,1,11,11,30,N/A,239.69,2.57,-7.95,98410,N/A
2009,1,11,12,30,N/A,247.76000000000002,2.5300000000000002,-7.28,98370,N/A
2009,1,11,13,30,N/A,253.70000000000002,2.59,-6.83,98320,N/A
2009,1,11,14,30,N/A,255.78,2.52,-6.49,98310,N/A
2009,1,11,15,30,N/A,272.51,3.67,-6.33,98310,N/A
2009,1,11,16,30,N/A,284.1,5.32,-6.78,98330,N/A
2009,1,11,17,30,N/A,282.12,6.04,-7.15,98350,N/A
2009,1,11,18,30,N/A,277.12,6.66,-7.49,98360,N/A
2009,1,11,19,30,N/A,282.55,7.01,-7.67,98380,N/A
2009,1,11,20,30,N/A,288.83,7.29,-7.7700000000000005,98380,N/A
2009,1,11,21,30,N/A,290.03000000000003,7.0600000000000005,-7.92,98370,N/A
2009,1,11,22,30,N/A,296.05,7.8500000000000005,-8.4,98340,N/A
2009,1,11,23,30,N/A,294.85,7.3500000000000005,-8.89,98360,N/A
2009,1,12,0,30,N/A,297.01,7.41,-8.96,98380,N/A
2009,1,12,1,30,N/A,299.45,7.01,-8.92,98390,N/A
2009,1,12,2,30,N/A,297.99,6.82,-9.07,98420,N/A
2009,1,12,3,30,N/A,286.09000000000003,6.15,-9.66,98440,N/A
2009,1,12,4,30,N/A,287.90000000000003,6.53,-9.47,98450,N/A
2009,1,12,5,30,N/A,282.14,5.37,-9.51,98470,N/A
2009,1,12,6,30,N/A,270.72,4.84,-9.63,98500,N/A
2009,1,12,7,30,N/A,262.82,4.68,-9.870000000000001,98530,N/A
2009,1,12,8,30,N/A,260.55,3.77,-10.27,98510,N/A
2009,1,12,9,30,N/A,237.11,2.66,-10.200000000000001,98520,N/A
2009,1,12,10,30,N/A,222.77,1.79,-9.15,98470,N/A
2009,1,12,11,30,N/A,178.16,2.17,-8.25,98460,N/A
2009,1,12,12,30,N/A,161.20000000000002,3.8200000000000003,-8.22,98420,N/A
2009,1,12,13,30,N/A,159.87,5.25,-7.98,98380,N/A
2009,1,12,14,30,N/A,163.97,5.23,-7.75,98340,N/A
2009,1,12,15,30,N/A,170.68,4.67,-7.74,98280,N/A
2009,1,12,16,30,N/A,177.67000000000002,3.7800000000000002,-7.79,98250,N/A
2009,1,12,17,30,N/A,197.08,2.2,-7.8,98200,N/A
2009,1,12,18,30,N/A,195.18,1.8,-7.88,98170,N/A
2009,1,12,19,30,N/A,262.78000000000003,1.3,-7.75,98160,N/A
2009,1,12,20,30,N/A,308.64,2.49,-7.6000000000000005,98100,N/A
2009,1,12,21,30,N/A,327.97,4.11,-7.65,98040,N/A
2009,1,12,22,30,N/A,339.69,5.98,-7.92,97970,N/A
2009,1,12,23,30,N/A,343.59000000000003,7.140000000000001,-8.06,97930,N/A
2009,1,13,0,30,N/A,348.56,8.35,-7.84,97920,N/A
2009,1,13,1,30,N/A,352.24,12.39,-9.32,97950,N/A
2009,1,13,2,30,N/A,354.25,13.72,-10.34,98010,N/A
2009,1,13,3,30,N/A,347.86,11.620000000000001,-11.21,98070,N/A
2009,1,13,4,30,N/A,336.91,12.35,-12.700000000000001,98150,N/A
2009,1,13,5,30,N/A,334.90000000000003,12.64,-14.72,98220,N/A
2009,1,13,6,30,N/A,333.46,12.290000000000001,-16.27,98300,N/A
2009,1,13,7,30,N/A,333.59000000000003,14.21,-17.400000000000002,98360,N/A
2009,1,13,8,30,N/A,330.37,11.99,-17.85,98440,N/A
2009,1,13,9,30,N/A,330.75,11.33,-17.45,98490,N/A
2009,1,13,10,30,N/A,325.09000000000003,9.17,-16.87,98540,N/A
2009,1,13,11,30,N/A,322.63,8.76,-16.34,98570,N/A
2009,1,13,12,30,N/A,320.13,9.73,-16.1,98570,N/A
2009,1,13,13,30,N/A,312.92,9.13,-16.01,98590,N/A
2009,1,13,14,30,N/A,310.12,8.6,-15.92,98610,N/A
2009,1,13,15,30,N/A,308.91,7.43,-15.94,98630,N/A
2009,1,13,16,30,N/A,300.06,7.46,-16.41,98670,N/A
2009,1,13,17,30,N/A,306.56,8.26,-16.65,98680,N/A
2009,1,13,18,30,N/A,311.7,7.58,-16.92,98690,N/A
2009,1,13,19,30,N/A,313.71,7.54,-17.05,98690,N/A
2009,1,13,20,30,N/A,320.24,6.37,-17.080000000000002,98660,N/A
2009,1,13,21,30,N/A,324.83,4.83,-16.77,98650,N/A
2009,1,13,22,30,N/A,326.36,3.92,-16.55,98620,N/A
2009,1,13,23,30,N/A,323.08,4.01,-16.72,98600,N/A
2009,1,14,0,30,N/A,329.73,3.42,-17.13,98570,N/A
2009,1,14,1,30,N/A,337.13,2.39,-17.85,98530,N/A
2009,1,14,2,30,N/A,339.24,3.27,-17.490000000000002,98510,N/A
2009,1,14,3,30,N/A,349.99,3.2,-17.45,98500,N/A
2009,1,14,4,30,N/A,341.44,2.23,-17.37,98490,N/A
2009,1,14,5,30,N/A,338.68,2.12,-17.19,98510,N/A
2009,1,14,6,30,N/A,340.78000000000003,3.64,-17.13,98530,N/A
2009,1,14,7,30,N/A,345.23,5.22,-17.04,98540,N/A
2009,1,14,8,30,N/A,343.32,6.69,-17.07,98550,N/A
2009,1,14,9,30,N/A,341.29,7.11,-16.56,98560,N/A
2009,1,14,10,30,N/A,343.52,7.66,-15.68,98550,N/A
2009,1,14,11,30,N/A,345.41,7.98,-14.92,98580,N/A
2009,1,14,12,30,N/A,344.29,8.700000000000001,-14.49,98610,N/A
2009,1,14,13,30,N/A,341.37,9.22,-14.280000000000001,98660,N/A
2009,1,14,14,30,N/A,340.82,9.620000000000001,-14.370000000000001,98750,N/A
2009,1,14,15,30,N/A,332.95,8.43,-14.64,98810,N/A
2009,1,14,16,30,N/A,327.64,11.14,-15.24,98890,N/A
2009,1,14,17,30,N/A,332.27,13.35,-15.8,98980,N/A
2009,1,14,18,30,N/A,332.82,12.81,-16.67,99080,N/A
2009,1,14,19,30,N/A,332.08,11.64,-18.05,99180,N/A
2009,1,14,20,30,N/A,331,11.73,-19.31,99250,N/A
2009,1,14,21,30,N/A,319.1,10.17,-20.43,99260,N/A
2009,1,14,22,30,N/A,322.32,12.32,-21.34,99280,N/A
2009,1,14,23,30,N/A,315.83,11.03,-21.830000000000002,99320,N/A
2009,1,15,0,30,N/A,316.03000000000003,11.57,-22.04,99370,N/A
2009,1,15,1,30,N/A,313.24,11.97,-22.23,99410,N/A
2009,1,15,2,30,N/A,308.77,12.05,-22.63,99470,N/A
2009,1,15,3,30,N/A,303.42,11.73,-23.150000000000002,99520,N/A
2009,1,15,4,30,N/A,301.52,11.66,-23.57,99560,N/A
2009,1,15,5,30,N/A,299.32,11.72,-23.96,99600,N/A
2009,1,15,6,30,N/A,296.84000000000003,11.65,-24.38,99640,N/A
